City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Cockburn Town,TC,21.4612,-71.1419,75.22,65,0,11.63,clear sky,2021-03-15 03:30:54
1,Barrow,US,71.2906,-156.7887,-5.8,77,1,11.5,snow,2021-03-15 03:32:50
2,Hilo,US,19.7297,-155.09,71.6,83,90,4.61,light rain,2021-03-15 03:19:47
3,Sao Filipe,CV,14.8961,-24.4956,70.68,73,0,4.07,clear sky,2021-03-15 03:34:29
4,Port Hardy,CA,50.6996,-127.4199,41.0,80,40,8.05,scattered clouds,2021-03-15 03:34:30
5,Ushuaia,AR,-54.8,-68.3,48.2,71,75,8.05,light rain,2021-03-15 03:24:35
6,Vaini,TO,-21.2,-175.2,75.2,94,75,3.44,broken clouds,2021-03-15 03:24:56
7,Ribeira Grande,PT,38.5167,-28.7,60.39,92,34,6.93,scattered clouds,2021-03-15 03:34:30
8,Berlevag,NO,70.8578,29.0864,30.42,92,100,17.18,light snow,2021-03-15 03:25:40
9,Mataura,NZ,-46.1927,168.8643,57.99,79,100,15.01,overcast clouds,2021-03-15 03:24:41
10,Narsaq,GL,60.9167,-46.05,37.4,44,90,43.73,light snow,2021-03-15 03:34:31
11,Hithadhoo,MV,-0.6,73.0833,84.24,63,96,6.11,overcast clouds,2021-03-15 03:21:16
12,Punta Arenas,CL,-53.15,-70.9167,48.2,87,90,6.91,light rain,2021-03-15 03:32:17
13,Popondetta,PG,-8.7537,148.2534,88.59,59,78,6.29,broken clouds,2021-03-15 03:34:32
14,West Bay,KY,19.3667,-81.4167,78.01,83,20,4.61,few clouds,2021-03-15 03:34:32
15,Kontagora,NG,10.3999,5.4695,77.88,27,82,5.19,broken clouds,2021-03-15 03:34:33
16,Katangli,RU,51.7102,143.2326,36.25,97,24,5.95,few clouds,2021-03-15 03:34:33
17,Wahiawa,US,21.5028,-158.0236,75.2,78,20,5.75,light rain,2021-03-15 03:33:06
18,Avarua,CK,-21.2078,-159.775,82.4,78,20,6.91,few clouds,2021-03-15 03:24:47
19,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,9.22,broken clouds,2021-03-15 03:34:34
20,East London,ZA,-33.0153,27.9116,71.6,94,75,9.22,broken clouds,2021-03-15 03:34:34
21,Chokurdakh,RU,70.6333,147.9167,-13.63,91,0,5.88,clear sky,2021-03-15 03:34:35
22,Kapaa,US,22.0752,-159.319,73.4,88,90,18.41,moderate rain,2021-03-15 03:34:35
23,Provideniya,RU,64.3833,-173.3,26.6,93,100,8.84,snow,2021-03-15 03:23:48
24,Yellowknife,CA,62.456,-114.3525,8.6,78,90,9.22,light snow,2021-03-15 03:26:42
25,Fukue,JP,32.6881,128.8419,60.8,55,0,10.36,clear sky,2021-03-15 03:21:59
26,Bluff,NZ,-46.6,168.3333,57.99,77,59,14.0,broken clouds,2021-03-15 03:34:36
27,Rikitea,PF,-23.1203,-134.9692,81.72,70,17,4.16,light rain,2021-03-15 03:29:38
